,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
444,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,714,4,0.0,0.0,20.99073988,-0.14896284964907833,-0.3802083333333333,-0.4337011145405927,-0.12315789473684212,48.0,38.0,-4.3,1
445,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,243,15,0.0,0.0,151.1193948,-0.12200378216479744,-0.415,-0.30476190476190473,-0.23399999999999999,50.0,25.0,-9.2,1
446,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-111,7,0.0,0.0,44.46131626,-0.06896551724137931,-0.453125,-0.32693930869838317,-0.21333333333333335,32.0,81.0,-8.98,1
447,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-78,6,0.0,0.0,35.99353651,-0.16119822855525537,-0.36281179138321995,-0.3465235172527515,-0.17058823529411762,63.0,51.0,-4.56,1
448,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,17,23,-6.900000095,0.0,321.6173524,1.0,1.0,-0.24474070360126027,-0.2616288659793814,0.0,97.0,-23.46,1
449,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,404,22,-2.700000048,-1.100000024,296.7334623,-0.06896551724137931,-0.4142857142857143,-0.304937838933629,-0.17739682539682533,35.0,63.0,-21.66,1
450,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-109,9,0.0,0.0,65.74638329,-0.28185356739096634,-0.20273357813137496,-0.2284752284752285,-0.1888888888888889,57.0,39.0,-12.22,1
451,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,1973,23,-2.799999952,-4.599999905,319.8243023,-0.13361892665705122,-0.39629629629629626,-0.3465235172527515,-0.17058823529411762,45.0,51.0,-18.3,1
452,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-135,15,-0.8000000119,-2.099999905,149.707392,-0.06896551724137931,-0.3918918918918919,-0.2966427843891148,-0.16872463768115945,37.0,69.0,-18.4,1
453,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,85,7,0.0,0.0,43.37449987,-0.18487120441059876,-0.3016036036036036,0.0,0.0,111.0,2.0,-15.95,1
454,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,601,17,0.0,0.0,185.5084845,-0.19614559773712054,-0.3025949367088608,-0.24390243902439027,-0.3416666666666666,79.0,24.0,-16.03,1
